unusual	adjective	not commonly encountered	"not usual; uncommon; rare;"	none
unusual	adjective	not usual or common or ordinary	"not usual; uncommon; rare;"	none
unusual	adjective	"being definitely out of the ordinary and unexpected; slightly odd or even a bit weird"	"not usual; uncommon; rare;"	none
tramper	noun	someone who walks with a heavy noisy gait or who stamps on the ground	"one who tramps; a stroller; a vagrant or vagabond; a tramp."	none
tramper	noun	"a foot traveler; someone who goes on an extended walk (for pleasure)"	"one who tramps; a stroller; a vagrant or vagabond; a tramp."	none
procrastinate	verb	postpone or delay needlessly	"to delay; to be dilatory."	none
procrastinate	verb	postpone or delay needlessly	"to put off till to-morrow, or from day to day; to defer; to postpone; to delay; ."	none
procrastinate	verb	postpone doing what one should be doing	"to delay; to be dilatory."	none
procrastinate	verb	postpone doing what one should be doing	"to put off till to-morrow, or from day to day; to defer; to postpone; to delay; ."	none
reject	verb	refuse to accept	"to cast from one; to throw away; to discard."	none
reject	verb	refuse to accept	"to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate."	none
reject	verb	refuse to accept	"to refuse to grant; ."	none
reject	verb	resist immunologically the introduction of some foreign tissue or organ	"to cast from one; to throw away; to discard."	none
reject	verb	resist immunologically the introduction of some foreign tissue or organ	"to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate."	none
reject	verb	resist immunologically the introduction of some foreign tissue or organ	"to refuse to grant; ."	none
reject	verb	refuse entrance or membership	"to cast from one; to throw away; to discard."	none
reject	verb	refuse entrance or membership	"to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate."	none
reject	verb	refuse entrance or membership	"to refuse to grant; ."	none
reject	verb	reject with contempt	"to cast from one; to throw away; to discard."	none
reject	verb	reject with contempt	"to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate."	none
reject	verb	reject with contempt	"to refuse to grant; ."	none
reject	verb	dismiss from consideration or a contest	"to cast from one; to throw away; to discard."	none
reject	verb	dismiss from consideration or a contest	"to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate."	none
reject	verb	dismiss from consideration or a contest	"to refuse to grant; ."	none
reject	verb	deem wrong or inappropriate	"to cast from one; to throw away; to discard."	none
reject	verb	deem wrong or inappropriate	"to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate."	none
reject	verb	deem wrong or inappropriate	"to refuse to grant; ."	none
reject	verb	refuse to accept or acknowledge	"to cast from one; to throw away; to discard."	none
reject	verb	refuse to accept or acknowledge	"to refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate."	none
reject	verb	refuse to accept or acknowledge	"to refuse to grant; ."	none
grumble	verb	to utter or emit low dull rumbling sounds	to express or utter with grumbling.	none
grumble	verb	to utter or emit low dull rumbling sounds	"to murmur or mutter with discontent; to make ill-natured complaints in a low voice and a surly manner."	none
grumble	verb	to utter or emit low dull rumbling sounds	"to growl; to snarl in deep tones; ."	none
grumble	verb	to utter or emit low dull rumbling sounds	"to rumble; to make a low, harsh, and heavy sound; to mutter; ."	none
grumble	verb	show one's unhappiness or critical attitude	to express or utter with grumbling.	none
grumble	verb	show one's unhappiness or critical attitude	"to murmur or mutter with discontent; to make ill-natured complaints in a low voice and a surly manner."	none
grumble	verb	show one's unhappiness or critical attitude	"to growl; to snarl in deep tones; ."	none
grumble	verb	show one's unhappiness or critical attitude	"to rumble; to make a low, harsh, and heavy sound; to mutter; ."	none
grumble	verb	make complaining remarks or noises under one's breath	to express or utter with grumbling.	none
grumble	verb	make complaining remarks or noises under one's breath	"to murmur or mutter with discontent; to make ill-natured complaints in a low voice and a surly manner."	none
grumble	verb	make complaining remarks or noises under one's breath	"to growl; to snarl in deep tones; ."	none
grumble	verb	make complaining remarks or noises under one's breath	"to rumble; to make a low, harsh, and heavy sound; to mutter; ."	none
grumble	verb	make a low noise	to express or utter with grumbling.	none
grumble	verb	make a low noise	"to murmur or mutter with discontent; to make ill-natured complaints in a low voice and a surly manner."	none
grumble	verb	make a low noise	"to growl; to snarl in deep tones; ."	none
grumble	verb	make a low noise	"to rumble; to make a low, harsh, and heavy sound; to mutter; ."	none
thickly	adverb	"with thickness; in a thick manner"	"in a thick manner; deeply; closely."	none
thickly	adverb	with a thick consistency	"in a thick manner; deeply; closely."	none
thickly	adverb	in a concentrated manner	"in a thick manner; deeply; closely."	none
thickly	adverb	spoken with poor articulation as if with a thick tongue	"in a thick manner; deeply; closely."	none
thickly	adverb	in quick succession	"in a thick manner; deeply; closely."	none
intemperate	adjective	"(of weather or climate) not mild; subject to extremes"	"indulging any appetite or passion to excess; immoderate in enjoyment or exertion."	none
intemperate	adjective	"(of weather or climate) not mild; subject to extremes"	addicted to an excessive or habitual use of alcoholic liquors.	none
intemperate	adjective	"(of weather or climate) not mild; subject to extremes"	"excessive; ungovernable; inordinate; violent; immoderate; ."	none
intemperate	adjective	given to excessive indulgence of bodily appetites especially for intoxicating liquors	"indulging any appetite or passion to excess; immoderate in enjoyment or exertion."	none
intemperate	adjective	given to excessive indulgence of bodily appetites especially for intoxicating liquors	addicted to an excessive or habitual use of alcoholic liquors.	none
intemperate	adjective	given to excessive indulgence of bodily appetites especially for intoxicating liquors	"excessive; ungovernable; inordinate; violent; immoderate; ."	none
intemperate	adjective	excessive in behavior	"indulging any appetite or passion to excess; immoderate in enjoyment or exertion."	none
intemperate	adjective	excessive in behavior	addicted to an excessive or habitual use of alcoholic liquors.	none
intemperate	adjective	excessive in behavior	"excessive; ungovernable; inordinate; violent; immoderate; ."	none
antitype	noun	an opposite or contrasting type	"that of which the type is the pattern or representation; that which is represented by the type or symbol."	none
antitype	noun	"a person or thing represented or foreshadowed by a type or symbol; especially a figure in the Old Testament having a counterpart in the New Testament"	"that of which the type is the pattern or representation; that which is represented by the type or symbol."	none
sane	adjective	marked by sound judgment	"being in a healthy condition; not deranged; acting rationally; -- said of the mind."	none
sane	adjective	marked by sound judgment	"mentally sound; possessing a rational mind; having the mental faculties in such condition as to be able to anticipate and judge of the effect of one's actions in an ordinary maner; -- said of persons."	none
sane	adjective	"mentally healthy; free from mental disorder"	"being in a healthy condition; not deranged; acting rationally; -- said of the mind."	none
sane	adjective	"mentally healthy; free from mental disorder"	"mentally sound; possessing a rational mind; having the mental faculties in such condition as to be able to anticipate and judge of the effect of one's actions in an ordinary maner; -- said of persons."	none
washbowl	noun	"a bathroom sink that is permanently installed and connected to a water supply and drainpipe; where you can wash your hands and face"	a basin, or bowl, to hold water for washing one's hands, face, etc.	none
washbowl	noun	a basin for washing the hands (`wash-hand basin' is a British expression)	a basin, or bowl, to hold water for washing one's hands, face, etc.	none
wickedness	noun	the quality of being wicked	"the quality or state of being wicked; departure from the rules of the divine or the moral law; evil disposition or practices; immorality; depravity; sinfulness."	none
wickedness	noun	the quality of being wicked	"a wicked thing or act; crime; sin; iniquity."	none
wickedness	noun	estrangement from god	"the quality or state of being wicked; departure from the rules of the divine or the moral law; evil disposition or practices; immorality; depravity; sinfulness."	none
wickedness	noun	estrangement from god	"a wicked thing or act; crime; sin; iniquity."	none
wickedness	noun	the quality of being disgusting to the senses or emotions	"the quality or state of being wicked; departure from the rules of the divine or the moral law; evil disposition or practices; immorality; depravity; sinfulness."	none
wickedness	noun	the quality of being disgusting to the senses or emotions	"a wicked thing or act; crime; sin; iniquity."	none
wickedness	noun	morally objectionable behavior	"the quality or state of being wicked; departure from the rules of the divine or the moral law; evil disposition or practices; immorality; depravity; sinfulness."	none
wickedness	noun	morally objectionable behavior	"a wicked thing or act; crime; sin; iniquity."	none
wickedness	noun	absence of moral or spiritual values	"the quality or state of being wicked; departure from the rules of the divine or the moral law; evil disposition or practices; immorality; depravity; sinfulness."	none
wickedness	noun	absence of moral or spiritual values	"a wicked thing or act; crime; sin; iniquity."	none
welterweight	noun	a professional boxer who weighs between 141 and 147 pounds	a weight of 28 pounds (one of 40 pounds is called a ) sometimes imposed in addition to weight for age, chiefly in steeplechases and hurdle races.	none
welterweight	noun	a professional boxer who weighs between 141 and 147 pounds	a boxer or wrestler whose weight is intermediate between that of a lightweight and that of a middleweight.	none
welterweight	noun	"a weight of 28 pounds; sometimes imposed as a handicap in a horse race (such as a steeplechase)"	a weight of 28 pounds (one of 40 pounds is called a ) sometimes imposed in addition to weight for age, chiefly in steeplechases and hurdle races.	none
welterweight	noun	"a weight of 28 pounds; sometimes imposed as a handicap in a horse race (such as a steeplechase)"	a boxer or wrestler whose weight is intermediate between that of a lightweight and that of a middleweight.	none
welterweight	noun	an amateur boxer who weighs no more than 148 pounds	a weight of 28 pounds (one of 40 pounds is called a ) sometimes imposed in addition to weight for age, chiefly in steeplechases and hurdle races.	none
welterweight	noun	an amateur boxer who weighs no more than 148 pounds	a boxer or wrestler whose weight is intermediate between that of a lightweight and that of a middleweight.	none
welterweight	noun	a wrestler who weighs 154-172 pounds	a weight of 28 pounds (one of 40 pounds is called a ) sometimes imposed in addition to weight for age, chiefly in steeplechases and hurdle races.	none
welterweight	noun	a wrestler who weighs 154-172 pounds	a boxer or wrestler whose weight is intermediate between that of a lightweight and that of a middleweight.	none
clash	verb	crash together with violent impact	to strike noisily against or together.	none
clash	verb	crash together with violent impact	"to make a noise by striking against something; to dash noisily together."	none
clash	verb	crash together with violent impact	"to meet in opposition; to act in a contrary direction; to come onto collision; to interfere."	none
clash	verb	disagree violently	to strike noisily against or together.	none
clash	verb	disagree violently	"to make a noise by striking against something; to dash noisily together."	none
clash	verb	disagree violently	"to meet in opposition; to act in a contrary direction; to come onto collision; to interfere."	none
clash	verb	"be incompatible; be or come into conflict"	to strike noisily against or together.	none
clash	verb	"be incompatible; be or come into conflict"	"to make a noise by striking against something; to dash noisily together."	none
clash	verb	"be incompatible; be or come into conflict"	"to meet in opposition; to act in a contrary direction; to come onto collision; to interfere."	none
mean	adjective	(used of persons or behavior) characterized by or indicative of lack of generosity	"destitute of distinction or eminence; common; low; vulgar; humble."	none
mean	adjective	(used of persons or behavior) characterized by or indicative of lack of generosity	"occupying a middle position; middle; being about midway between extremes."	none
mean	adjective	(used of persons or behavior) characterized by or indicative of lack of generosity	intermediate in excellence of any kind.	none
mean	adjective	(used of persons or behavior) characterized by or indicative of lack of generosity	"wanting dignity of mind; low-minded; base; destitute of honor; spiritless; ."	none
mean	adjective	(used of persons or behavior) characterized by or indicative of lack of generosity	"average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation;"	none
mean	adjective	(used of persons or behavior) characterized by or indicative of lack of generosity	"of little value or account; worthy of little or no regard; contemptible; despicable."	none
mean	adjective	(used of persons or behavior) characterized by or indicative of lack of generosity	"of poor quality; ."	none
mean	adjective	(used of persons or behavior) characterized by or indicative of lack of generosity	"penurious; stingy; close-fisted; illiberal; ."	none
mean	adjective	excellent	"destitute of distinction or eminence; common; low; vulgar; humble."	none
mean	adjective	excellent	"occupying a middle position; middle; being about midway between extremes."	none
mean	adjective	excellent	intermediate in excellence of any kind.	none
mean	adjective	excellent	"wanting dignity of mind; low-minded; base; destitute of honor; spiritless; ."	none
mean	adjective	excellent	"average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation;"	none
mean	adjective	excellent	"of little value or account; worthy of little or no regard; contemptible; despicable."	none
mean	adjective	excellent	"of poor quality; ."	none
mean	adjective	excellent	"penurious; stingy; close-fisted; illiberal; ."	none
mean	adjective	approximating the statistical norm or average or expected value	"destitute of distinction or eminence; common; low; vulgar; humble."	none
mean	adjective	approximating the statistical norm or average or expected value	"occupying a middle position; middle; being about midway between extremes."	none
mean	adjective	approximating the statistical norm or average or expected value	intermediate in excellence of any kind.	none
mean	adjective	approximating the statistical norm or average or expected value	"wanting dignity of mind; low-minded; base; destitute of honor; spiritless; ."	none
mean	adjective	approximating the statistical norm or average or expected value	"average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation;"	none
mean	adjective	approximating the statistical norm or average or expected value	"of little value or account; worthy of little or no regard; contemptible; despicable."	none
mean	adjective	approximating the statistical norm or average or expected value	"of poor quality; ."	none
mean	adjective	approximating the statistical norm or average or expected value	"penurious; stingy; close-fisted; illiberal; ."	none
mean	adjective	of no value or worth	"destitute of distinction or eminence; common; low; vulgar; humble."	none
mean	adjective	of no value or worth	"occupying a middle position; middle; being about midway between extremes."	none
mean	adjective	of no value or worth	intermediate in excellence of any kind.	none
mean	adjective	of no value or worth	"wanting dignity of mind; low-minded; base; destitute of honor; spiritless; ."	none
mean	adjective	of no value or worth	"average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation;"	none
mean	adjective	of no value or worth	"of little value or account; worthy of little or no regard; contemptible; despicable."	none
mean	adjective	of no value or worth	"of poor quality; ."	none
mean	adjective	of no value or worth	"penurious; stingy; close-fisted; illiberal; ."	none
mean	adjective	having or showing an ignoble lack of honor or morality	"destitute of distinction or eminence; common; low; vulgar; humble."	none
mean	adjective	having or showing an ignoble lack of honor or morality	"occupying a middle position; middle; being about midway between extremes."	none
mean	adjective	having or showing an ignoble lack of honor or morality	intermediate in excellence of any kind.	none
mean	adjective	having or showing an ignoble lack of honor or morality	"wanting dignity of mind; low-minded; base; destitute of honor; spiritless; ."	none
mean	adjective	having or showing an ignoble lack of honor or morality	"average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation;"	none
mean	adjective	having or showing an ignoble lack of honor or morality	"of little value or account; worthy of little or no regard; contemptible; despicable."	none
mean	adjective	having or showing an ignoble lack of honor or morality	"of poor quality; ."	none
mean	adjective	having or showing an ignoble lack of honor or morality	"penurious; stingy; close-fisted; illiberal; ."	none
mean	adjective	(used of sums of money) so small in amount as to deserve contempt	"destitute of distinction or eminence; common; low; vulgar; humble."	none
mean	adjective	(used of sums of money) so small in amount as to deserve contempt	"occupying a middle position; middle; being about midway between extremes."	none
mean	adjective	(used of sums of money) so small in amount as to deserve contempt	intermediate in excellence of any kind.	none
mean	adjective	(used of sums of money) so small in amount as to deserve contempt	"wanting dignity of mind; low-minded; base; destitute of honor; spiritless; ."	none
mean	adjective	(used of sums of money) so small in amount as to deserve contempt	"average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation;"	none
mean	adjective	(used of sums of money) so small in amount as to deserve contempt	"of little value or account; worthy of little or no regard; contemptible; despicable."	none
mean	adjective	(used of sums of money) so small in amount as to deserve contempt	"of poor quality; ."	none
mean	adjective	(used of sums of money) so small in amount as to deserve contempt	"penurious; stingy; close-fisted; illiberal; ."	none
mean	adjective	marked by poverty befitting a beggar	"destitute of distinction or eminence; common; low; vulgar; humble."	none
mean	adjective	marked by poverty befitting a beggar	"occupying a middle position; middle; being about midway between extremes."	none
mean	adjective	marked by poverty befitting a beggar	intermediate in excellence of any kind.	none
mean	adjective	marked by poverty befitting a beggar	"wanting dignity of mind; low-minded; base; destitute of honor; spiritless; ."	none
mean	adjective	marked by poverty befitting a beggar	"average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation;"	none
mean	adjective	marked by poverty befitting a beggar	"of little value or account; worthy of little or no regard; contemptible; despicable."	none
mean	adjective	marked by poverty befitting a beggar	"of poor quality; ."	none
mean	adjective	marked by poverty befitting a beggar	"penurious; stingy; close-fisted; illiberal; ."	none
mean	adjective	characterized by malice	"destitute of distinction or eminence; common; low; vulgar; humble."	none
mean	adjective	characterized by malice	"occupying a middle position; middle; being about midway between extremes."	none
mean	adjective	characterized by malice	intermediate in excellence of any kind.	none
mean	adjective	characterized by malice	"wanting dignity of mind; low-minded; base; destitute of honor; spiritless; ."	none
mean	adjective	characterized by malice	"average; having an intermediate value between two extremes, or between the several successive values of a variable quantity during one cycle of variation;"	none
