управител	noun	главен ръководител на обществена служба, търговско или промишлено предприятие и др.	Лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	none
управител	noun	длъжност на ръководител на обществена служба, търговско или промишлено предприятие и др.	Лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	none
управител	noun	лице, което има служба да надзирава, да наглежда, да наблюдава, или да управлява някого или нещо.	Лице, което пряко ръководи учреждение, предприятие, ресторант, имение и др.	none
ядене	noun	това, което живите същества и растенията поемат в себе си, за да поддържат живота и развитието си.	Храна.	none
ядене	noun	готвено ядене.	Храна.	none
ядене	noun	вид храна, обикновено сготвена, която се сервира и консумира за обяд, вечеря или през друго време на деня.	Храна.	none
агент	noun	лице, което действа от името на някого или нещо, като представлява организация, учреждение и под.	човек, който действа по чужда поръчка, извършва работа на другиго.	exact
агент	noun	лице, което действа от името на някого или нещо, като представлява организация, учреждение и под.	действаща причина.	none
агент	noun	цивилен, обикновено таен полицейски служител.	човек, който действа по чужда поръчка, извършва работа на другиго.	none
агент	noun	цивилен, обикновено таен полицейски служител.	действаща причина.	none
амбиция	noun	силен стремеж, желание, мобилизиране на цялата енергия и сили към постигане на нещо, към успех в нещо.	силно желание за постигане на определена цел, мотивация за успех, целеустременост.	exact
амбиция	noun	силен стремеж, желание, мобилизиране на цялата енергия и сили към постигане на нещо, към успех в нещо.	може да се тълкува като честолюбие.	none
буква	noun	отделен знак от азбуката.	Знак от азбуката.	none
вещество	noun	това, от което се състоят нещата в света.	Вещество е това,което изгражда всяко нещо около нас.	none
вещество	noun	това, от което предметите, нещата се състоят.	Вещество е това,което изгражда всяко нещо около нас.	none
въжделение	noun	силно, страстно влечение, стремеж към нещо, нужда от нещо.	Желание, искане, стремеж, копнеж, блян, мечта, стремление, цел, очакване, намерение, порив.	none
въжделение	noun	силно желание за постигане на нещо.	Желание, искане, стремеж, копнеж, блян, мечта, стремление, цел, очакване, намерение, порив.	none
гозба	noun	готвено ядене.	Ястие, манджа.	none
гозба	noun	вид храна, обикновено сготвена, която се сервира и консумира за обяд, вечеря или през друго време на деня.	Ястие, манджа.	none
дискусия	noun	обсъждане на спорен научен, обществен или друг въпрос, проблем.	Средство за изясняване на спорни въпроси и за постигане на съгласие между хора с различни позиции.	none
дискусия	noun	дискусия за нещо, словесна борба за доказване на различни, противоположни мнения, възгледи.	Средство за изясняване на спорни въпроси и за постигане на съгласие между хора с различни позиции.	none
загъвам	verb	завивам някого или някакъв предмет от всички страни в нещо, с което го покривам изцяло.	Завивам; покривам с нещо.	none
загъвам	verb	правя на пакет, като завивам, увивам нещо от всички страни в хартия, картон и под.	Завивам; покривам с нещо.	none
зала	noun	отделна, самостоятелна сграда за спортни игри, концерти и под.	Стая, помещение (обикн. голямо, за предварително определен тип официални и публични прояви).	none
зала	noun	голямо помещение в сграда, предназначено за събрания, концерти, спортни игри и др.	Стая, помещение (обикн. голямо, за предварително определен тип официални и публични прояви).	none
замръзвам	verb	изстивам силно, става ми много студено от силен студ, мраз.	много ми е студено.	exact
замръзвам	verb	изстивам силно, става ми много студено от силен студ, мраз.	спирам на място.	none
замръзвам	verb	за течност, водно простраство и под. - превръщам се на лед при ниска температура.	много ми е студено.	none
замръзвам	verb	за течност, водно простраство и под. - превръщам се на лед при ниска температура.	спирам на място.	none
колело	noun	екологично превозно средство с две колела, което се задвижва от мускулната сила на човека с помощта на педали.	кръгъл предмет, който се върти и обикновено се използва за движение или задвижване.	none
колело	noun	екологично превозно средство с две колела, което се задвижва от мускулната сила на човека с помощта на педали.	превозно средство с две или три колела, задвижвано с крака, посредством педали.	exact
колело	noun	приспособление, устройство с кръгла форма, което се върти свободно около минаваща през центъра му ос, изградено от плътен материал като диск или от кръгла рамка със спици и се използва за улесняване движението на превозни средства, в машини, мехинизми, уреди  и др.	кръгъл предмет, който се върти и обикновено се използва за движение или задвижване.	exact
колело	noun	приспособление, устройство с кръгла форма, което се върти свободно около минаваща през центъра му ос, изградено от плътен материал като диск или от кръгла рамка със спици и се използва за улесняване движението на превозни средства, в машини, мехинизми, уреди  и др.	превозно средство с две или три колела, задвижвано с крака, посредством педали.	none
обстоятелство	noun	нещо (факт, явление, събитие, свойство и др.), което в даден момент следва да се вземе предвид при извършването, осъществяването на някакво действие, явление.	явление, което съпътства някакъв факт.	related
обстоятелство	noun	нещо (факт, явление, събитие, свойство и др.), което в даден момент следва да се вземе предвид при извършването, осъществяването на някакво действие, явление.	условия, определящи съществуването на нещо.	exact
обстоятелство	noun	нещо (факт, явление, събитие, свойство и др.), което в даден момент следва да се вземе предвид при извършването, осъществяването на някакво действие, явление.	в граматиката — обстоятелствено пояснение.	none
обстоятелство	noun	причина, условие, съществено обстоятелство в развитието на даден процес или явление, за постигането на определен резултат.	явление, което съпътства някакъв факт.	none
обстоятелство	noun	причина, условие, съществено обстоятелство в развитието на даден процес или явление, за постигането на определен резултат.	условия, определящи съществуването на нещо.	none
обстоятелство	noun	причина, условие, съществено обстоятелство в развитието на даден процес или явление, за постигането на определен резултат.	в граматиката — обстоятелствено пояснение.	none
опасност	noun	възможна опасност.	Възможност да се случи нещо лошо.	none
опасност	noun	възможност или вероятност да се случи нещо лошо, някаква беда, нещастие.	Възможност да се случи нещо лошо.	none
поща	noun	учреждение, служба за изпращане на посочен адрес на писма, вестници, пари, леки товари и др.	учреждение за пращане на определен адрес на писма, пари, вестници, багаж и др.	exact
